"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 22:00:41 UTC 2023","Fri Dec 29 22:00:44 UTC 2023","3165","","Interaction with forms","","","","TC_7: Interaction with active/inactive buttons",""
"passed","Fri Dec 29 22:01:14 UTC 2023","Fri Dec 29 22:01:18 UTC 2023","4126","","Login functionality","","","","TC_4: Login with empty fields",""
"passed","Fri Dec 29 22:00:33 UTC 2023","Fri Dec 29 22:00:37 UTC 2023","3652","","Interaction with forms","","","","TC_6: Turning the switch ON_OFF",""
"passed","Fri Dec 29 22:00:41 UTC 2023","Fri Dec 29 22:00:42 UTC 2023","778","","Interaction with forms","","","","""before each"" hook for Interaction with forms",""
"passed","Fri Dec 29 22:01:47 UTC 2023","Fri Dec 29 22:02:09 UTC 2023","22211","","Sign Up fucntionality","","","","TC_3:Valid Sign up",""
"passed","Fri Dec 29 22:03:16 UTC 2023","Fri Dec 29 22:03:17 UTC 2023","207","","Swiping fucntionality","","","","""after each"" hook for Swiping fucntionality",""
"passed","Fri Dec 29 22:02:47 UTC 2023","Fri Dec 29 22:02:48 UTC 2023","843","","Swiping fucntionality","","","","""before each"" hook for Swiping fucntionality",""
"passed","Fri Dec 29 22:00:37 UTC 2023","Fri Dec 29 22:00:41 UTC 2023","3508","","Interaction with forms","","","","TC_6: Dropdown functionality",""
"passed","Fri Dec 29 22:00:30 UTC 2023","Fri Dec 29 22:00:33 UTC 2023","3594","","Interaction with forms","","","","TC_5: Typing into ""Input"" field",""
"passed","Fri Dec 29 22:00:44 UTC 2023","Fri Dec 29 22:00:45 UTC 2023","660","","Interaction with forms","","","","""after each"" hook for Interaction with forms",""
"passed","Fri Dec 29 22:02:40 UTC 2023","Fri Dec 29 22:02:46 UTC 2023","6192","","Swiping fucntionality","","","","TC_1:Swiping down to the wdio robot",""
"passed","Fri Dec 29 22:02:47 UTC 2023","Fri Dec 29 22:03:16 UTC 2023","29301","","Swiping fucntionality","","","","TC_2:Swiping right",""
